Type,Photo,Last Name,First Name,District #,Party,Title/leadership,Sort Order,E-mail,Website,Term limit,Counties covered,Standing Committee,Appropriations Subcommittee,Commerce & Economic Development Oversight Committees,Education Oversight Committees,Government Oversight Committees,Health & Human Services Oversight Committees,Energy & Natural Resources Oversight Committees,Judiciary & Public Safety Oversight Committees,Office address,Office city,Office state,Office zip,Office Rm #,Office phone,Cell phone,Home address,Home city,Home state,,District Phone,LA name,LA E-mail,Predecessor,Cooperative Name,Cooperative Logo Filename,Twitter,Facebook,LinkedIn,Miles of Line,Active Meters,Employees,Active Meters/Mile,Co-op Type,Co-op Region Name
OAEC Member System,JenniferMeason.jpg,Meason,Jennifer,,,CEO,10,,http://www.cottonelectric.com/,http://www.cottonelectric.com/,OK: Caddo~ Carter~ Comanche~ Cotton~ Grady~ Jefferson~ Stephens~ Tillman,,,,,,,,,226 N. Broadway,Walters,OK,73572,,580-875-3351,,,,,,,,,,"Cotton Electric Cooperative, Inc.",,http://www.twitter.com/cottonelectric,http://www.facebook.com/cottonelectric,,5151,22104,88,4,Distribution,"Cotton Electric Cooperative, Inc."
OAEC Member System,RicksDusty.jpg,Ricks,Dusty,,,CEO,27,,http://www.recok.coop/,http://www.recok.coop/,OK: Carter~ Comanche~ Garvin~ Grady~ McClain~ Stephens,,,,,,,,,N. of Lindsay on Hwy. 76,Lindsay,OK,73052,,405-756-3104,,,,,,,,,,"Rural Electric Cooperative, Inc.",,,http://www.facebook.com/pages/Rural-Electric-Cooperative-Inc/116401145072740,,2954,11438,49,4,Distribution,"Rural Electric Cooperative, Inc."
OAEC Member System,BrettOrme.jpg,Orme,Brett,,,Executive VP/CEO,17,,http://www.kiamichielectric.org/,http://www.kiamichielectric.org/,OK: Atoka~ Latimer~ LeFlore~ Pittsburg~ Pushmataha,,,,,,,,,966 S. Hwy 2,Wilburton,OK,74578,,918-465-2338,,,,,,,,,,"Kiamichi Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Kiamichi-Electric-Cooperative/150931158276424?fref=ts,,4134,21286,45,5,Distribution,"Kiamichi Electric Cooperative, Inc."
OAEC Member System,ClintPack.jpg,Pack,Clint,,,Manager,8,,http://caddoelectric.com/v2/,http://caddoelectric.com/v2/,OK: Blaine~ Caddo~ Canadian~ Comanche~ Custer~ Grady~ Kiowa~ Washita,,,,,,,,,3 miles W. of Binger,Binger,OK,73009,,405-656-2322,,,,,,,,,,"CKenergy Electric Cooperative, Inc.",,,,,7725,25230,108,3,Distribution,"CKenergy Electric Cooperative, Inc."
OAEC Member System,AaronPaxton.jpg,Paxton,Aaron,,,General Manager/CEO,13,,http://www.harmonelectric.com/,http://www.harmonelectric.com/,OK: Beckham~ Greer~ Harmon~ Jackson~ Kiowa~ TX: Childress~ Hardeman,,,,,,,,,114 N. 1st St.,Hollis,OK,73550,,580-688-3342,,,,,,,,,,"Harmon Electric Association, Inc.",,,https://www.facebook.com/pages/Harmon-Electric-Association-Inc/154725664575443,,1939,3587,18,2,Distribution,"Harmon Electric Association, Inc."
OAEC Member System,PerkinsZac.jpg,Perkins,Zac,,,CEO,30,,http://www.tcec.coop,http://www.tcec.coop,OK: Beaver~ Cimarron~ Texas KS: Clark~ Meade~ Stevens~ portions of Morton & Seward NM: Bada~ Colorado~ Union TX: Dallum~ Hansford~ Lipscomb~ Ochiltree~ Sherman,,,,,,,,,302 E. Glaydas,Hooker,OK,73945,,580-652-2418,,,,,,,,,,"TCEC, Inc.",,https://twitter.com/TriCountyEC,https://www.facebook.com/tricountyelectric,http://www.linkedin.com/company/tri-county-electric-cooperative?trk=cp_followed_name_tri-county-electric-cooperativ,4937,23467,107,5,Distribution,"Tri-County Elec. Co-op, Inc."
OAEC Member System,SimpsonAl.jpg,Simpson,Al ,,,Chief Executive Officer,2,,http://www.avecc.com/,http://www.avecc.com/,OK: Adair~ LeFlore~ Sequoyah~ AR: Crawford~ Franklin~ Johnson~ Logan~ Madison~ Newton~ Pope~ Scott~ Sebastian~ Yell,,,,,,,,,1302 S. Pocola Blvd.,Pocola,OK,74902,,800-468-2419,,,,,,,,,,"Arkansas Valley Electric Cooperative, Corp.",,,https://www.facebook.com/MyEnergyAVECC,,8282,57781,152,7,Distribution,Arkansas Valley Electric Cooperative Corp.
OAEC Member System,BoeschJason.jpg,Boesch,Jason,,,Manager,16,,http://www.kayelectric.coop/,http://www.kayelectric.coop/,OK: Garfield~ Grant~ Kay~ Noble~ Osage,,,,,,,,,300 W. Doolin,Blackwell,OK,74631,,580-363-1260,,,,,,,,,,"Kay Electric Cooperative, Inc.",,https://twitter.com/kayelectriccoop,http://www.facebook.com/pages/Kay-Electric-Cooperative/277322722408,,2262,5876,53,3,Distribution,Kay Electric Cooperative
OAEC Member System,RouletGary.jpg,Roulet,Gary,,,CEO,32,,http://www.wfec.com/,http://www.wfec.com/,,,,,,,,,,701 NE 7th St.,Anadarko,OK,73005,,405-247-3351,,,,,,,,,,Western Farmers Electric Cooperative,,,https://www.facebook.com/pages/Western-Farmers-Electric-Co-Op/168424053168790?fref=ts,,3700,,376,,Generation/Transmission,
OAEC Member System,HollandsworthKari.jpg,Hollandsworth,Kari,,,CEO,12,,http://gsec.coop,http://gsec.coop,,,,,,,,,,PO Box 9898,Amarillo,TX,79105,,806-379-7766,,,,,,,,,,"Golden Spread Electric Cooperative, Inc.",,,,,74674,286151,90,4,Generation/Transmission,
OAEC Member System,JeffSimpson2.jpg,Simpson,Jeff,,,President/CEO,29,,http://www.swre.com/,http://www.swre.com/,OK: Comanche~ Greer~ Kiowa~ Jackson~ Tillman~ TX: Archer~ Baylor~ Foard~ Hardeman~ Wichita~ Wilbarger,,,,,,,,,700 N. Broadway,Tipton,OK,73570,,580-667-5281,,,,,,,,,,"Southwest Rural Electric Association, Inc.",,,,,3075,7835,32,3,Distribution,"Southwest Rural Electric Association, Inc."
OAEC Member System,SmithTim.jpg,Smith,Tim,,,Manager,11,,http://ecoec.com/,http://ecoec.com/,OK: Creek~ McIntosh~ Muskogee~ Okfuskee~ Okmulgee~ Tulsa~ Wagoner,,,,,,,,,Hwy. 75 S.,Okmulgee,OK,74447,,918-756-0833,,,,,,,,,,"East Central Oklahoma Electric Cooperative, Inc.",,,,,6210,33334,74,5,Distribution,"East Central Oklahoma Electric Cooperative, Inc."
OAEC Member System,RoarkAaron.jpg,Roark,Aaron,,,Manager,7,,http://www.cimarronelectric.com/,http://www.cimarronelectric.com/,OK: Blaine~ Canadian~ Custer~ Dewey~ Garfield~ Kingfisher~ Logan~ Major~ Oklahoma,,,,,,,,,2 miles N. Hwy 81,Kingfisher,OK,73750,,405-375-4121,,,,,,,,,,"Cimarron Electric Cooperative, Inc.",,https://twitter.com/CimarronElec,https://www.facebook.com/cimarronelectric.cooperative,,4599,15787,49,3,Distribution,Cimarron Electric Cooperative
OAEC Member System,JamesFox.jpg,Fox,James,,,Manager,28,,http://www.se-coop.com/,http://www.se-coop.com/,OK: Atoka~ Bryan~ Choctaw~ Coal~ Johnston,,,,,,,,,1514 E. Hwy. 70,Durant,OK,74702,,580-924-2170,,,,,,,,,,"Southeastern Electric Cooperative, Inc.",,,,,2719,14200,33,5,Distribution,"Southeastern Electric Cooperative, Inc."
OAEC Member System,,White,Sondra,,,Interim CEO,5,,http://www.crec.coop/,http://www.crec.coop/,OK: Garfield~ Lincoln~ Logan~ Noble~ Oklahoma~ Pawnee~ Payne,,,,,,,,,3304 Boomer Rd.,Stillwater,OK,74076,,405-372-2884,,,,,,,,,,Central Electric Cooperative,,https://twitter.com/centralrural,https://www.facebook.com/centralrural,,4304,24593,89,6,Distribution,Central REC
OAEC Member System,,Vahdatipour,Hamid,,,Interim CEO,18,,http://www.lrecok.coop/,http://www.lrecok.coop/,OK: Adair~ Cherokee~ Delaware~ Mayes~ Muskogee~ Rogers~ Wagoner,,,,,,,,,516 S. Lake Region Rd.,Hulbert,OK,74441,,918-772-2526,,,,,,,,,,"Lake Region Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Lake-Region-Electric-Cooperative/104838869583328?fref=ts,,3068,24482,72,8,Distribution,"Lake Region Electric Co-op, Inc."
OAEC Member System,GaryHighley.jpg,Highley,Gary,,,Manager,4,,http://www.canadianvalley.org/,http://www.canadianvalley.org/,OK: Creek~ Hughes~ Lincoln~ McIntosh~ Okfuskee~ Oklahoma~ Pottawatomie~ Seminole,,,,,,,,,11277 S.356,Seminole,OK,74868,,405-382-3680,,,,,,,,,,"Canadian Valley Electric Cooperative, Inc.",,,,,5243,24331,65,5,Distribution,Canadian Valley Electric Cooperative. Inc.
OAEC Member System,WoodKevin.jpg,Wood,Kevin,,,Executive VP/CEO,25,,http://www.peopleselectric.coop,http://www.peopleselectric.coop,OK: Atoka~ Carter~ Coal~ Garvin~ Hughes~ Johnston~ McClain~ Murray~ Pittsburg~ Pontotoc~ Seminole,,,,,,,,,1600 N. Country Club,Ada,OK,74820,,580-332-3031,,,,,,,,,,People's Electric Cooperative,,,https://www.facebook.com/PeoplesElectricCooperative?fref=ts,,4866,22137,68,5,Transmission/Distribution,People's Electric Cooperative
Oklahoma House,AdamsStacy.jpg,Adams,Stacy Jo,50,R,,63,stacy.adams@okhouse.gov,,2036,Jefferson~ Stephens,Commerce & Economic Development Oversight,,Insurance (Vice Chair),,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 204.2,405-557-7327,,,,,,,Jan Tupps,jan.tupps@okhouse.gov,,,,,,,,,,,,
Oklahoma House,AlonsoArturo2022.jpg,Alonso,Arturo,89,D,,34,Arturo.Alonso-Sandoval@okhouse.gov,,2034,Oklahoma,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 604,405-557-7397,,,,,,,Karla Stewart,Karla.stewart@okhouse.gov,,,,,,,,,,,,
Oklahoma House,ArcherNick2022.jpg,Archer,Nick,55,R,Caucus Vice Chair,12,nick.archer@okhouse.gov,,2034,Beckham~ Greer~ Kiowa~ Roger Mills~ Washita,Energy & Natural Resources Oversight,,,,,,Energy (Chair),,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 547,405-557-7312,,,,,,,Holley Fulton,holley.fulton@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BanningChris2022.jpg,Banning,Chris,24,R,Assistant Whip,22,chris.banning@okhouse.gov,,2034,Creek~Okmulgee~Tulsa,Commerce & Economic Development Oversight,,Business (Chair),,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 340,405-557-7306,,,,,,,Pam Rector,pam.rector@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BashoreSteveHA241022-43.jpg,Bashore,Steve,7,R,Deputy Floor Leader,5,steve.bashore@okhouse.gov,,2032,Craig~Delaware~ Ottawa,Rules (Vice Chair),,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 248.2,405-557-7399,,,,,,,Dana Moore,dana.moore@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BennettForrest2022.jpg,Bennett,Forrest,92,D,,18,forrest.bennett@okhouse.gov,,2028,Oklahoma,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 543.1,405-557-7404,,,,,,,Connie Riley,connie.riley@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BlairJason.jpg,Blair,Jason,53,R,,61,jason.blair@okhouse.gov ,,2036,Cleveland,Appropriations,Transportation (Vice Chair),,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 452.1,405-557-7346,,,,,,,Lynnisa Catlin,lynnisa.catlin@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BlancettMeloyde.jpg,Blancett,Meloyde,78,D,,26,meloyde.blancett@okhouse.gov,,2028,Tulsa,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 545.2,405-557-7334,,,,,,,Jekia Harrison,jekia.harrison@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BolesBrad.jpg,Boles,Brad,51,R,,28,brad.boles@okhouse.gov,,2030,Grady~ Stephens,Energy & Natural Resources Oversight (Chair),,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 244.1,405-557-7405,,,,,,,Denise Armstrong,denise.armstrong@okhouse.gov,,,,,,,,,,,,
Oklahoma House,BurnsTy.jpg,Burns,Ty ,35,R,,30,ty.burns@okhouse.gov,,2030,Creek~ Noble~ Osage~ Pawnee~ Payne,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 300.3,405-557-7344,,,,,,,Lacy Skrapka,lacy.skrapka@okhouse.gov,,,,,,,,,,,,
Oklahoma House,CaldwellChad1.jpg,Caldwell,Chad,40,R,,32,chad.caldwell@okhouse.gov,,2026,Garfield,Appropriations,Education (Chair),,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 328.1,405-557-7317,,,,,,,Ashleigh Hines,ashleigh.hines@okhouse.gov,,,,,,,,,,,,
Oklahoma House,CaldwellTrey2023.jpg,Caldwell,Trey,63,R,Appropriations Chair,9,trey.caldwell@okhouse.gov,,2030,Comanche~ Tillman~Cotton~Kiowa,Appropriations (Chair),,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 304.2,405-557-7307,,,,,,,Debbie Taylor,debbie.taylor@okhouse.gov,,,,,,,,,,,,
Oklahoma House,CantrellJosh2022.jpg,Cantrell,Josh,49,R,Assistant Whip,23,josh.cantrell@okhouse.gov,,2034,Carter~ Love~ Marshall,Health & Human Services Oversight (Vice Chair),,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 303.2,405-557-7383,,,,,,,Audra Brice,audra.brice@okhouse.gov,,,,,,,,,,,,
Oklahoma House,ChapmanMark1.jpg,Chapman,Mark,12,R,,62,mark.chapman@okhouse.gov,,2036,Wagoner,Energy & Natural Resources Oversight,,,,,,Utilities (Vice Chair),,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 242.2,405-557-7388,,,,,,,Monica King,monica.king@okhouse.gov,,,,,,,,,,,,
Oklahoma House,CornwellRustyH.jpg,Cornwell,Rusty,6,R,,7,rusty.cornwell@okhouse.gov,,2030,Craig~ Mayes~ Rogers~Nowata,Energy & Natural Resources Oversight,,,,,,Wildlife (Vice Chair),,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 304.1,405-557-7319,,,,,,,Debbie Taylor,debbie.taylor@okhouse.gov,,,,,,,,,,,,
Oklahoma House,CrosswhiteDenise.jpg,Crosswhite Hader,Denise,41,R,,8,denise.crosswhitehader@okhouse.gov,,2030,Canadian~ Logan~ Kingfisher~ Oklahoma,Government Oversight,,,,Elections & Ethics (Vice Chair),,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 332.2,405-557-7321,,,,,,,Lauren Hutson,lauren.hutson@okhouse.gov,,,,,,,,,,,,
Oklahoma House,CulverBobEd.jpg,Culver,Bob Ed,4,R,,35,bob.culver@okhouse.gov,,2032,Cherokee~Wagoner,Health & Human Services Oversight~Judiciary & Public Safety Oversight,,,,,"Alcohol, Tobacco and Controlled Substances (Vice Chair)",,Civil (Vice Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 504.1,405-557-7408,,,,,,,Abby Sexton,abby.sexton@okhouse.gov,,,,,,,,,,,,
Oklahoma House,DeckJared2022.jpg,Deck,Jared,44,D,,17,jared.deck@okhouse.gov,,2034,Cleveland,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 511.1,405-557-7323,,,,,,,Melanie Sifuentes,melanie.sifuentes@okhouse.gov,,,,,,,,,,,,
Oklahoma House,DempseyEddy.jpg,Dempsey,Eddy,1,R,,37,eddy.dempsey@okhouse.gov,,2032,LeFlore~ McCurtain,Government Oversight,,,,County & Municipal Government (Chair),,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 453.1,405-557-7363,,,,,,,Elisabeth Schlebach,elisabeth.schlebach@okhouse.gov,,,,,,,,,,,,
Oklahoma House,DobrinskiMike.jpg,Dobrinski,Mike,59,R,,38,mike.dobrinski@okhouse.gov,,2032,"Blaine~ Dewey,Garfield~Kingfisher~Woodward",Energy & Natural Resources Oversight,,,,,,Utilities (Chair),,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 300.1,405-557-7407,,,,,,,Steven Wolfe,steven.wolfe@okhouse.gov,,,,,,,,,,,,
Oklahoma House,DollensMickey2023.jpg,Dollens,Mickey,93,D,Democratic Whip,32,mickey.dollens@okhouse.gov,,2028,Oklahoma,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 501.1,405-557-7371,,,,,,,Peyton Burnham,peyton.burnham@okhouse.gov,,,,,,,,,,,,
Oklahoma House,DuelCollin2022.jpg,Duel,Collin,31,R,Assistant Floor Leader,17,collin.duel@okhouse.gov,,2034,Logan~ Oklahoma,Judiciary & Public Safety Oversight (Vice Chair),,,,,,,Civil (Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 336.3,405-557-7350,,,,,,,Melissa Nash,melissa.nash@okhouse.gov,,,,,,,,,,,,
Oklahoma House,EavesRyanA241120-346H.jpg,Eaves,Ryan,22,R,,,ryan.eaves@okhouse.gov ,,2036,Atoka~ Garvin~ Johnston~ Murray,Appropriations,Finance (Vice Chair),,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 401,405-557-7412,,,,,,,Kathie Darr,kathie.darr@okhouse.gov,,,,,,,,,,,,
Oklahoma House,FetgatterScottHc.jpg,Fetgatter,Scott,16,R,Tribal & External Affairs,14,scott.fetgatter@okhouse.gov,,2028,Muskogee~ Okmulgee~ Tulsa,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 455.2,405-557-7373,,,,,,,Jamie Layne,jamie.layne@okhouse.gov,,,,,,,,,,,,
Oklahoma House,FordRoss.jpg,Ford,Ross,76,R,,40,ross.ford@okhouse.gov,,2030,Tulsa,Appropriations,Public Safety (Chair),,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 300.2,405-557-7347,,,,,,,Lacy Skrapka,lacy.skrapka@okhouse.gov,,,,,,,,,,,,
Oklahoma House,FugateAndy.jpg,Fugate,Andy,94,D,Democratic Floor Leader,31,andy.fugate@okhouse.gov,,2030,Oklahoma,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 545.1,405-557-7370,,,,,,,Jekia Harrison,jekia.harrison@okhouse.gov,,,,,,,,,,,,
Oklahoma House,GannTom.jpg,Gann,Tom,8,R,,42,tom.gann@okhouse.gov,,2028,Mayes~ Rogers~ Wagoner,,,,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 334.2,405-557-7364,,,,,,,Carla Ray,carla.ray@okhouse.gov,,,,,,,,,,,,
Oklahoma House,GeorgeJohn2022.jpg,George,John,36,R,,79,john.george@okhouse.gov,,2034,Cleveland~Oklahoma,Energy & Natural Resources Oversight,,,,,,Wildlife (Chair),,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 504.1,405-557-7322,,,,,,,Abby Sexton,abby.sexton@okhouse.gov,,,,,,,,,,,,
Oklahoma House,GiseEmily.jpg,Gise,Emily,90,R,,,emily.gise@okhouse.gov ,,2036,Cleveland~ Oklahoma,Appropriations,Human (Vice Chair),,,,,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,Rm 457,405-557-7354,,,,,,,Kaye Beach,kaye.beach@okhouse.gov,,,,,,,,,,,,
