Type,Photo,Last Name,First Name,District #,Party,Title/leadership,Sort Order,E-mail,Website,Term limit,Counties covered,Standing Committee,Appropriations Subcommittee,Office address,Office city,Office state,Office zip,Office Rm #,Office phone,Home address,Home city,Home state,Home zip,District Phone,LA name,Predecessor,Cooperative Name,Cooperative Logo Filename,Twitter,Facebook,LinkedIn,Miles of Line,Active Meters,Employees,Active Meters/Mile,Co-op Type,Co-op Region Name
OAEC Member System,JackPerkins.jpg,Perkins,Jack,,,CEO,30,,www.tcec.coop,,OK: Beaver~ Cimarron~ Texas KS: Clark~ Meade~ Stevens~ portions of Morton & Seward NM: Bada~ Colorado~ Union TX: Dallum~ Hansford~ Lipscomb~ Ochiltree~ Sherman,,,302 E. Glaydas,Hooker,OK,73945,,580-652-2418,,,,,,,,"Tri-County Electric Cooperative, Inc.",,https://twitter.com/TriCountyEC,https://www.facebook.com/tricountyelectric,http://www.linkedin.com/company/tri-county-electric-cooperative?trk=cp_followed_name_tri-county-electric-cooperativ,5422,17112,91,3,Transmission/Distribution,"Tri-County Elec. Co-op, Inc."
OAEC Member System,WilliamPeters.jpg,Peters,William,,,Chief Executive Officer,2,,http://www.avecc.com/,,OK: Adair~ LeFlore~ Sequoyah~ AR: Crawford~ Franklin~ Johnson~ Logan~ Madison~ Newton~ Pope~ Scott~ Sebastian~ Yell,,,1302 S. Pocola Blvd.,Pocola,OK,74902,,800-468-2419,,,,,,,,"Arkansas Valley Electric Cooperative, Corp.",,,https://www.facebook.com/MyEnergyAVECC,,8148,70161,134,9,Distribution,Arkansas Valley Electric Cooperative Corp.
OAEC Member System,GaryRoulet.jpg,Roulet,Gary,,,CEO,32,,http://www.wfec.com/,,,,,701 NE 7th St.,Anadarko,OK,73005,,405-247-3351,,,,,,,,Western Farmers Electric Cooperative,,,https://www.facebook.com/pages/Western-Farmers-Electric-Co-Op/168424053168790?fref=ts,,3600,,378,,Generation/Transmission,
OAEC Member System,TimSmith.jpg,Smith,Tim,,,Manager,11,,http://ecoec.com/,,OK: Creek~ McIntosh~ Muskogee~ Okfuskee~ Okmulgee~ Tulsa~ Wagoner,,,Hwy. 75 S.,Okmulgee,OK,74447,,918-756-0833,,,,,,,,"East Central Oklahoma Electric Cooperative, Inc.",,,,,6118,32562,78,5,Distribution,"East Central Oklahoma Electric Cooperative, Inc."
OAEC Member System,MarkSnowden.jpg,Snowden,Mark,,,Manager,8,,http://www.cimarronelectric.com/,,OK: Blaine~ Canadian~ Custer~ Dewey~ Garfield~ Kingfisher~ Logan~ Major~ Oklahoma,,,2 miles N. Hwy 81,Kingfisher,OK,73750,,405-375-4121,,,,,,,,"Cimarron Electric Cooperative, Inc.",,https://twitter.com/CimarronElec,https://www.facebook.com/cimarronelectric.cooperative,,4438,14623,50,3,Distribution,Cimarron Electric Cooperative
OAEC Member System,LarrySpeaks.jpg,Speaks,Larry,,,Manager,28,,http://www.se-coop.com/,,OK: Atoka~ Bryan~ Choctaw~ Coal~ Johnston,,,1514 E. Hwy. 70,Durant,OK,74702,,580-924-2170,,,,,,,,"Southeastern Electric Cooperative, Inc.",,,,,2689,13857,32,5,Distribution,"Southeastern Electric Cooperative, Inc."
OAEC Member System,DavidSwank.jpg,Swank,David,,,CEO,6,,http://www.crec.coop/,,OK: Garfield~ Lincoln~ Logan~ Noble~ Oklahoma~ Pawnee~ Payne,,,3304 Boomer Rd.,Stillwater,OK,74076,,405-372-2884,,,,,,,,Central Rural Electric Cooperative,,https://twitter.com/centralrural,https://www.facebook.com/centralrural,,4185,19466,77,5,Distribution,Central REC
OAEC Member System,ClintPack.jpg,Pack,Clint,,,Manager,4,,http://caddoelectric.com/v2/,,OK: Blaine~ Caddo~ Canadian~ Comanche~ Custer~ Grady~ Kiowa~ Washita,,,3 miles W. of Binger,Binger,OK,73009,,405-656-2322,,,,,,,,"Caddo Electric Cooperative, Inc.",,,http://www.facebook.com/#!/pages/Caddo-Electric-Cooperative/448751885157658?fref=ts,,4613,18094,76,4,Distribution,Caddo Electric Cooperative
OAEC Member System,HamidVahdatipour.jpg,Vahdatipour,Hamid,,,CEO,18,,http://www.lrecok.coop/,,OK: Adair~ Cherokee~ Delaware~ Mayes~ Muskogee~ Rogers~ Wagoner,,,516 S. Lake Region Rd.,Hulbert,OK,74441,,918-772-2526,,,,,,,,"Lake Region Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Lake-Region-Electric-Cooperative/104838869583328?fref=ts,,3031,23912,67,8,Distribution,"Lake Region Electric Co-op, Inc."
OAEC Member System,ColinWhitley.jpg,Whitley,Colin,,,General Manager/CEO,1,,http://www.alfalfaelectric.coop/,,OK: Alfalfa~ Grant~ Garfield~ Major~ Woods~ KS: Barber~ Harper,,,121 E. Main,Cherokee,OK,73728,,580-596-3333,,,,,,,,"Alfalfa Electric Cooperative, Inc.",,,https://www.facebook.com/AlfalfaElectric,,3216,8124,42,3,Distribution,"Alfalfa Electric Cooperative, Inc."
OAEC Member System,KrisWilliams.jpg,Williams,Kris,,,District Manager - Oklahoma,24,,http://www.ozarksecc.com/,,OK: Adair~ Cherokee~ Delaware~ Sequoyah~ AR: Benton~ Crawford~ Franklin~ Madison~ Washington,,,Hwy 51 W.,Stilwell,OK,74960,,918-696-7733,,,,,,,,"Ozarks Electric Cooperative, Corp.",,,https://www.facebook.com/OzarksElectric?fref=ts,,6755,67606,183,10,Distribution,Ozarks Electric Co-op Corp.
OAEC Member System,,,,,,,7,,www.choctawelectric.coop,,OK: Atoka~ Bryan~ Choctaw~ LeFlore~ McCurtain~ Pushmataha,,,Hwy. 93 N.,Hugo,OK,74743,,580-326-6486,,,,,,,,"Choctaw Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Choctaw-Electric-Cooperative/118898534804009,,3507,17989,85,5,Distribution,"Choctaw Electric Cooperative, Inc."
Oklahoma House,BanzGary.jpg,Banz,Gary,101,R,Majority Whip,6,garybanz@okhouse.gov ,,2016,Oklahoma,Elections & Ethics~ Rules~ Tourism & International Relations,General Government (Vice Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,433,405-557-7395,,Midwest City,,,,Angie Robinson,,,,,,,,,,,,
Oklahoma House,BennettJohn.jpg,Bennett,John,2,R,,,john.bennett@okhouse.gov ,,2022,Sequoyah,Appropriations & Budget~ Government Oversight & Accountability~ Transportation,Public Safety (Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,300A,405-557-7315,,Sallisaw,,,,Martha Perry,,,,,,,,,,,,
Oklahoma House,BiggsScott.jpg,Biggs,Scott,51,R,,,scott.biggs@okhouse.gov ,,2024,Grady~ McClain~ Stephens,Ag & Rural Development (Vice Chair)~ Criminal Justice & Corrections~ Public Safety,Natural Resources & Regulatory Services,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,242,405-557-7405,,Chickasha,,,,Denise Crosswhite Hader,,,,,,,,,,,,
Oklahoma House,BillyLisa.jpg,Billy,Lisa,42,R,Floor Leader,5,lisajbilly@okhouse.gov ,,2016,Garvin~ McClain,Appropriations & Budget~ Criminal Justice & Corrections,Public Safety (Vice Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,440,405-557-7365,,Purcell,,,,Saprina Crosthwait,,,,,,,,,,,,
Oklahoma House,BrownMike.jpg,Brown,Mike,4,D,,,mikebrown@okhouse.gov ,,2016,Cherokee,Appropriations & Budget~ Energy & Natural Resources~ Wildlife,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,545,405-557-7408,,Tahlequah,,,,Connie Riley,,,,,,,,,,,,
Oklahoma House,BrumbaughDavid.jpg,Brumbaugh,David,76,R,Republican Caucus Chair,7,david.brumbaugh@okhouse.gov ,,2022,Tulsa,Energy & Natural Resources~ Transportation~ Utilities (Vice Chair),General Government,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,400B,405-557-7347,,Broken Arrow,,,,Chris Biggs,,,,,,,,,,,,
Oklahoma House,CaldwellChad.jpg,Caldwell,Chad,40,R,,,chad.caldwell@okhouse.gov,,2026,Garfield,Common Education~ Rules~ Utilities,Health (Vice Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,329A,405-557-7317,,Enid,,,,Suzanne Earnest,,,,,,,,,,,,
Oklahoma House,CalveyKevin.jpg,Calvey,Kevin,82,R,,,kevin.calvey@okhouse.gov,,2018,Oklahoma,Energy & Natural Resources~ Environmental Law (Chair)~ Judiciary & Civil Procedure,Judiciary,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,301A,405-557-7357,,Oklahoma City,,,,Chelsey Jones,,,,,,,,,,,,
Oklahoma House,CannadayEd.jpg,Cannaday,Ed,15,D,,,ed.cannaday@okhouse.gov ,,2018,Haskell~ LeFlore~ McIntosh~ Muskogee~ Pittsburg~ Sequoyah,Administrative Rules~ Common Education~ Utilities,Education,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,546,405-557-7375,,Porum,,,,Connie Riley,,,,,,,,,,,,
Oklahoma House,CaseyDennis.jpg,Casey,Dennis,35,R,,,dennis.casey@okhouse.gov ,,2022,Creek~ Noble~ Osage~ Pawnee~ Payne,Ag & Rural Development~ Appropriations & Budget (Vice Chair)~ Common Education~ Higher Ed & Career Tech,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,337,405-557-7344,,Morrison,,,,Robin Andrew/Debbie Blair,,,,,,,,,,,,
Oklahoma House,ChristianMike.jpg,Christian,Mike,93,R,,,mike.christian@okhouse.gov ,,2020,Oklahoma,County & Municipal Government~ Public Safety (Chair)~ Utilities,Public Safety,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,303,405-557-7371,,Oklahoma City,,,,Marilyn Watkins,,,,,,,,,,,,
Oklahoma House,ClevelandBobby.jpg,Cleveland,Bob,20,R,,,bob.cleveland@okhouse.gov ,,2024,Cleveland~ Garvin~ McClain~ Pottawatomie,Criminal Justice & Corrections~ Long-term Care & Senior Services~ Public Safety (Vice Chair),Public Safety,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,240,405-557-7308,,Slaughterville,,,,Madeline Baldwin,,,,,,,,,,,,
Oklahoma House,CockroftJosh.jpg,Cockroft,Josh,27,R,,,josh.cockroft@okhouse.gov ,,2022,Cleveland~ Pottawatomie,County & Municipal Government~ State Government Operations~ Tourism & International Relations (Chair),Natural Resources & Regulatory Services,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,303A,405-557-7349,,Tecumseh,,,,Patti Muzny,,,,,,,,,,,,
Oklahoma House,ConditDonnie.jpg,Condit,Donnie,18,D,,,donnie.condit@okhouse.gov ,,2022,Coal~ Hughes~ McIntosh~ Pittsburg,Common Education~ Elections & Ethics (Vice Chair)~ Rules,Public Safety,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,502,405-557-7376,,McAlester,,,,Debra Smith,,,,,,,,,,,,
Oklahoma House,CoodyJeff.jpg,Coody,Jeff,63,R,,,jeff.coody@okhouse.gov,,2026,Comanche~ Tillman,Ag & Rural Development~ Environmental Law~ Insurance (Vice Chair),Health,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,439,405-557-7398,,Grandfield,,,,Cindy Stevens,,,,,,,,,,,,
Oklahoma House,CoodyAnn.jpg,Coody,Ann,64,R,,,anncoody@okhouse.gov ,,2016,Comanche,Appropriations & Budget~ Common Education (Chair)~ Veterans & Military Affairs,Education,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,338,405-557-7307,,Lawton,,,,Marilyn Watkins,,,,,,,,,,,,
Oklahoma House,CookseyMarian.jpg,Cooksey,Marian,39,R,,,mariancooksey@okhouse.gov ,,2016,Oklahoma,"Criminal Justice & Corrections~ Economic Development, Commerce & Real Estate (Vice Chair)~ Energy & Natural Resources",Natural Resources & Regulatory Services,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,409,405-557-7342,,Edmond,,,,Patti Muzny,,,,,,,,,,,,
Oklahoma House,CoxDoug.jpg,Cox,Doug,5,R,,,dougcox@okhouse.gov ,,2016,Delaware~ Mayes,"Alcohol, Tobacco & Controlled Substances~ Appropriations & Budget~ Public Health",Health (Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,331,405-557-7415,,Grove,,,,Jane Mitchell,,,,,,,,,,,,
Oklahoma House,DankDavid.jpg,Dank,David,85,R,,,david.dank@okhouse.gov ,,2018,Oklahoma,Appropriations & Budget~ Elections & Ethics~ Long-term Care & Senior Services,Revenue & Taxation (Chair),2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,435,405-557-7392,,Oklahoma City,,,,Charlotte Maughan,,,,,,,,,,,,
Oklahoma House,DenneyLee.jpg,Denney,Lee,33,R,Speaker Pro Tempore,2,leedenney@okhouse.gov ,,2016,Logan~ Payne,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,441,405-557-7304,,Cushing,,,,Suzanne Earnest,,,,,,,,,,,,
Oklahoma House,DerbyDavid.jpg,Derby,David,74,R,,,david.derby@okhouse.gov ,,2018,Rogers~ Tulsa,"Alcohol, Tobacco & Controlled Substances (Chair)~ Public Health~ Public Safety",Human Services,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,408,405-557-7377,,Owasso,,,,Jennifer Cooper,,,,,,,,,,,,
Oklahoma House,DunlapTravis.jpg,Dunlap,Travis,10,R,,,travis.dunlap@okhouse.gov,,2026,Nowata~ Osage~ Washington,"Economic Development, Commerce & Real Estate~ Environmental Law (Vice Chair)~ Tourism & International Relations",Human Services,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,250A,405-557-7402,,Bartlesville,,,,Debby Morales,,,,,,,,,,,,
Oklahoma House,DunningtonJason.jpg,Dunnington,Jason,88,D,,,jason.dunnington@okhouse.gov,,2026,Oklahoma,Environmental Law~ State Government Operations,Education~ Public Safety,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,500A,405-557-7396,,Oklahoma City,,,,Jacquelyn Walsh,,,,,,,,,,,,
Oklahoma House,EcholsJon.jpg,Echols,Jon,90,R,,,jon.echols@okhouse.gov ,,2024,Cleveland~ Oklahoma,Energy & Natural Resources~ Judiciary & Civil Procedure (Vice Chair)~ Public Health,Judiciary,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,248,405-557-7354,,Oklahoma City,,,,Angie Robinson,,,,,,,,,,,,
Oklahoma House,EnnsJohn.jpg,Enns,John,41,R,,,john.enns@okhouse.gov ,,2018,Canadian~ Garfield~ Kingfisher~ Oklahoma,"Ag & Rural Development (Chair)~ Alcohol, Tobacco & Controlled Substances~ Veterans & Military Affairs",Natural Resources & Regulatory Services,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,434,405-557-7321,,Waukomis,,,,Natalie Villalobos,,,,,,,,,,,,
Oklahoma House,FaughtGeorge.jpg,Faught,George,14,R,,,george.faught@okhouse.gov,,2020,Cherokee~ Muskogee,Administrative Rules (Chair)~ Transportation~ Veterans & Military Affairs,General Government,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,301B,405-557-7310,,Muskogee,,,,Shannon McGowan,,,,,,,,,,,,
Oklahoma House,FisherDan.jpg,Fisher,Dan,60,R,,,dan.fisher@okhouse.gov ,,2024,Caddo~ Canadian,Administrative Rules~ Common Education~ State & Federal Relations (Vice Chair),General Government,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,202,405-557-7311,,El Reno,,,,Charlotte Maughan,,,,,,,,,,,,
Oklahoma House,FourkillerWilliam.jpg,Fourkiller,Will,86,D,,,will.fourkiller@okhouse.gov ,,2022,Adair~ Cherokee~ Delaware,"Alcohol, Tobacco & Controlled Substances (Vice Chair)~ Business, Labor & Retirement Laws~ Public Health",Health,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,542,405-557-7394,,Stilwell,,,,Amy Hicks,,,,,,,,,,,,
Oklahoma House,GrauRandy.jpg,Grau,Randy,81,R,,,randy.grau@okhouse.gov ,,2022,Oklahoma,"Alcohol, Tobacco & Controlled Substances~ Criminal Justice & Corrections~ Judiciary & Civic Procedure (Chair)",Judiciary,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,330,405-557-7360,,Edmond,,,,Natalie Villalobos,,,,,,,,,,,,
Oklahoma House,GriffithClaudia.jpg,Griffith,Claudia,45,D,,,claudia.griffith@okhouse.gov,,2026,Cleveland,"Alcohol, Tobacco & Controlled Substances~ Public Health",Health,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,539,405-557-7386,,Norman,,,,Tanisha Woods,,,,,,,,,,,,
Oklahoma House,HallElise.jpg,Hall,Elise,100,R,Majority Caucus Vice Chair,8,elise.hall@okhouse.gov ,,2022,Oklahoma,"Economic Development, Commerce & Real Estate~ Government Oversight & Accountability~ Public Health (Vice Chair)",Revenue & Taxation,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,200A,405-557-7403,,Oklahoma City,,,,Sarah Spencer,,,,,,,,,,,,
Oklahoma House,HardinTommy.jpg,Hardin,Tommy,49,R,,,tommy.hardin@okhouse.gov ,,2022,Carter~ Love~ Marshall,Energy & Natural Resources~ Rules (Chair)~ Wildlife,Public Safety,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,336,405-557-7383,,Madill,,,,Jamie Hudson,,,,,,,,,,,,
