Type,Photo,Last Name,First Name,District #,Party,Title/leadership,Sort Order,E-mail,Website,Term limit,Counties covered,Standing Committee,Appropriations Subcommittee,Office address,Office city,Office state,Office zip,Office Rm #,Office phone,Home address,Home city,Home state,Home zip,District Phone,LA name,Predecessor,Cooperative Name,Cooperative Logo Filename,Twitter,Facebook,LinkedIn,Miles of Line,Active Meters,Employees,Active Meters/Mile,Co-op Type,Co-op Region Name
Oklahoma House,PruettRC.jpg,Pruett,R.C.,19,D,,,rcpruett@okhouse.gov ,,2016,Atoka~ Bryan~ Choctaw~ Pushmataha,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Antlers,,,,,,,,,,,,,,,,
Oklahoma House,ClevelandBobby.jpg,Cleveland,Bob,20,R,,,bob.cleveland@okhouse.gov ,,2024,Cleveland~ Garvin~ McClain~ Pottawatomie,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Slaughterville,,,,,,,,,,,,,,,,
Oklahoma House,RobertsDustin.jpg,Roberts,Dustin,21,R,,,dustin.roberts@okhouse.gov ,,2022,Bryan,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Durant,,,,,,,,,,,,,,,,
Oklahoma House,McCallCharles.jpg,McCall,Charles,22,R,,,charles.mccall@okhouse.gov ,,2024,Atoka~ Garvin~ Johnston~ Murray,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Atoka,,,,,,,,,,,,,,,,
Oklahoma House,O'DonnellTerry.jpg,O'Donnell,Terry,23,R,,,terry.odonnell@okhouse.gov ,,2024,Rogers~ Tulsa~ Wagoner,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Catoosa,,,,,,,,,,,,,,,,
Oklahoma House,KouplenSteve.jpg,Kouplen,Steve,24,D,,,steve.kouplen@okhouse.gov ,,2020,Hughes~ Okfuskee~ Okmulgee,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Beggs,,,,,,,,,,,,,,,,
Oklahoma House,ThomsenTodd.jpg,Thomsen,Todd,25,R,,,todd.thomsen@okhouse.gov ,,2018,Pontotoc,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Ada,,,,,,,,,,,,,,,,
Oklahoma House,WoodJustin.jpg,Wood,Justin,26,R,,,justin.wood@okhouse.gov ,,2024,Pottawatomie,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Shawnee,,,,,,,,,,,,,,,,
Oklahoma House,CockroftJosh.jpg,Cockroft,Josh,27,R,,,josh.cockroft@okhouse.gov ,,2022,Cleveland~ Pottawatomie,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tecumseh,,,,,,,,,,,,,,,,
Oklahoma House,NewellTom.jpg,Newell,Tom,28,R,,,tom.newell@okhouse.gov ,,2022,Pottawatomie~ Seminole,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Seminole,,,,,,,,,,,,,,,,
Oklahoma House,,Leewright,James,29,R,,,,,2026,Creek~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Bristow,,,,,,,,,,,,,,,,
Oklahoma House,McCulloughMark.jpg,McCullough,Mark,30,R,,,mark.mccullough@okhouse.gov ,,2018,Creek~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Sapulpa,,,,,,,,,,,,,,,,
Oklahoma House,MurpheyJason.jpg,Murphey,Jason,31,R,,,jason.murphey@okhouse.gov ,,2018,Logan~ Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Guthrie,,,,,,,,,,,,,,,,
Oklahoma House,,Wallace,Kevin,32,R,,,,,2026,Lincoln~ Logan,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Wellston,,,,,,,,,,,,,,,,
Oklahoma House,DenneyLee.jpg,Denney,Lee,33,R,,,leedenney@okhouse.gov ,,2016,Logan~ Payne,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Cushing,,,,,,,,,,,,,,,,
Oklahoma House,WilliamsCory.jpg,Williams,Cory,34,D,,,cory.williams@okhouse.gov ,,2020,Payne,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Stillwater,,,,,,,,,,,,,,,,
Oklahoma House,CaseyDennis.jpg,Casey,Dennis,35,R,,,dennis.casey@okhouse.gov ,,2022,Creek~ Noble~ Osage~ Pawnee~ Payne,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Morrison,,,,,,,,,,,,,,,,
Oklahoma House,RobertsSean.jpg,Roberts ,Sean,36,R,,,sean.roberts@okhouse.gov ,,2022,Osage~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Hominy,,,,,,,,,,,,,,,,
Oklahoma House,VaughanSteve.jpg,Vaughan,Steve,37,R,,,steve.vaughan@okhouse.gov ,,2022,Kay~ Osage,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Ponca City,,,,,,,,,,,,,,,,
Oklahoma House,,Pfeiffer,John,38,R,,,,,2026,Garfield~ Grant~ Kay~ Logan~ Noble,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Mulhall,,,,,,,,,,,,,,,,
Oklahoma House,CookseyMarian.jpg,Cooksey,Marian,39,R,,,mariancooksey@okhouse.gov ,,2016,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Edmond,,,,,,,,,,,,,,,,
Oklahoma House,,Caldwell,Chad,40,R,,,,,2026,Garfield,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Enid,,,,,,,,,,,,,,,,
Oklahoma House,EnnsJohn.jpg,Enns,John,41,R,,,john.enns@okhouse.gov ,,2018,Canadian~ Garfield~ Kingfisher~ Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Waukomis,,,,,,,,,,,,,,,,
Oklahoma House,BillyLisa.jpg,Billy,Lisa,42,R,,,lisajbilly@okhouse.gov ,,2016,Garvin~ McClain,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Purcell,,,,,,,,,,,,,,,,
Oklahoma House,,Jordan,John Paul,43,R,,,,,2026,Canadian,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Yukon,,,,,,,,,,,,,,,,
Oklahoma House,VirginEmily.jpg,Virgin,Emily,44,D,,,emily.virgin@okhouse.gov ,,2022,Cleveland,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Norman,,,,,,,,,,,,,,,,
Oklahoma House,,Griffith,Claudia,45,D,,,,,2026,Cleveland,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Norman,,,,,,,,,,,,,,,,
Oklahoma House,MartinScott.jpg,Martin,Scott,46,R,,,scott.martin@okhouse.gov ,,2018,Cleveland,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Norman,,,,,,,,,,,,,,,,
Oklahoma House,OsbornLeslie.jpg,Osborn,Leslie,47,R,,,leslie.osborn@okhouse.gov ,,2020,Canadian~ Grady,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Mustang,,,,,,,,,,,,,,,,
Oklahoma House,OwnbeyPat.jpg,Ownbey,Pat,48,R,,,pat.ownbey@okhouse.gov ,,2020,Carter~ Garvin~ Murray,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Ardmore,,,,,,,,,,,,,,,,
Oklahoma House,HardinTommy.jpg,Hardin,Tommy,49,R,,,tommy.hardin@okhouse.gov ,,2022,Carter~ Love~ Marshall,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Madill,,,,,,,,,,,,,,,,
Oklahoma House,JohnsonDennis.jpg,Johnson,Dennis,50,R,,,dennis.johnson@okhouse.gov ,,2018,Jefferson~ Stephens,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Duncan,,,,,,,,,,,,,,,,
Oklahoma House,BiggsScott.jpg,Biggs,Scott,51,R,,,scott.biggs@okhouse.gov ,,2024,Grady~ McClain~ Stephens,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Chickasha,,,,,,,,,,,,,,,,
Oklahoma House,OrtegaCharles.jpg,Ortega,Charles,52,R,,,charles.ortega@okhouse.gov ,,2020,Greer~ Harmon~ Jackson~ Kiowa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Altus,,,,,,,,,,,,,,,,
Oklahoma House,McBrideMark.jpg,McBride,Mark,53,R,,,mark.mcbride@okhouse.gov ,,2024,Cleveland,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Moore,,,,,,,,,,,,,,,,
Oklahoma House,WesselhoftPaul.jpg,Wesselhoft,Paul,54,R,,,paulwesselhoft@okhouse.gov ,,2016,Cleveland~ Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Moore,,,,,,,,,,,,,,,,
Oklahoma House,RussTodd.jpg,Russ,Todd,55,R,,,todd.russ@okhouse.gov ,,2022,Beckham~ Greer~ Kiowa~ Roger Mills~ Washita,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Cordell,,,,,,,,,,,,,,,,
Oklahoma House,PerrymanDavid.jpg,Perryman,David,56,D,,,david.perryman@okhouse.gov ,,2024,Caddo~ Grady~ Kiowa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Chickasha,,,,,,,,,,,,,,,,
Oklahoma House,WrightHarold.jpg,Wright,Harold,57,R,,,harold.wright@okhouse.gov ,,2020,Beckham~ Blaine~ Caddo~ Canadian~ Custer,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Weatherford,,,,,,,,,,,,,,,,
Oklahoma House,HickmanJeff.jpg,Hickman,Jeff,58,R,,,jwhickman@okhouse.gov ,,2016,Alfalfa~ Major~ Woods~ Woodward,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Dacoma,,,,,,,,,,,,,,,,
Oklahoma House,SandersMike.jpg,Sanders,Mike,59,R,,,mike.sanders@okhouse.gov ,,2020,Blaine~ Canadian~ Dewey~ Kingfisher~ Woodward,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Kingfisher,,,,,,,,,,,,,,,,
Oklahoma House,FisherDan.jpg,Fisher,Dan,60,R,,,dan.fisher@okhouse.gov ,,2024,Caddo~ Canadian,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,El Reno,,,,,,,,,,,,,,,,
Oklahoma House,,Murdock,Casey,61,R,,,,,2026,Beaver~ Cimarron~ Ellis~ Harper~ Texas~ Woodward,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Felt,,,,,,,,,,,,,,,,
Oklahoma House,,Montgomery,John,62,R,,,,,2026,Comanche,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Lawton,,,,,,,,,,,,,,,,
Oklahoma House,,Coody,Jeff,63,R,,,,,2026,Comanche~ Tillman,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Grandfield,,,,,,,,,,,,,,,,
Oklahoma House,CoodyAnn.jpg,Coody,Ann,64,R,,,anncoody@okhouse.gov ,,2016,Comanche,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Lawton,,,,,,,,,,,,,,,,
Oklahoma House,,Park,Scooter,65,R,,,,,2026,Caddo~ Comanche~ Cotton~ Grady~ Stephens,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Devol,,,,,,,,,,,,,,,,
Oklahoma House,NollanJadine.jpg,Nollan,Jadine,66,R,,,jadine.nollan@okhouse.gov ,,2022,Osage~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Sand Springs,,,,,,,,,,,,,,,,
Oklahoma House,PetersonPam.jpg,Peterson,Pam,67,R,,,pampeterson@okhouse.gov ,,2016,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,MulreadyGlen.jpg,Mulready,Glen,68,R,,,glen.mulready@okhouse.gov ,,2022,Creek~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,,Strohm,Chuck,69,R,,,,,2026,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Jenks,,,,,,,,,,,,,,,,
Oklahoma House,WalkerKen.jpg,Walker,Ken,70,R,,,ken.walker@okhouse.gov ,,2024,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,HenkeKatie.jpg,Henke,Katie,71,R,,,katie.henke@okhouse.gov ,,2024,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,ScottSeneca.jpg,Scott,Seneca,72,D,,,seneca.scott@okhouse.gov ,,2020,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,MatthewsKevin.jpg,Matthews,Kevin,73,D,,,kevin.matthews@okhouse.gov ,,2024,Osage~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,DerbyDavid.jpg,Derby,David,74,R,,,david.derby@okhouse.gov ,,2018,Rogers~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Owasso,,,,,,,,,,,,,,,,
Oklahoma House,KirbyDan.jpg,Kirby,Dan,75,R,,,dan.kirby@okhouse.gov ,,2020,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,BrumbaughDavid.jpg,Brumbaugh,David,76,R,,,david.brumbaugh@okhouse.gov ,,2022,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Broken Arrow,,,,,,,,,,,,,,,,
Oklahoma House,ProctorEric.jpg,Proctor,Eric,77,D,,,eric.proctor@okhouse.gov ,,2018,Rogers~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,McDanielJeannie.jpg,McDaniel,Jeannie,78,D,,,jeanniemcdaniel@okhouse.gov ,,2016,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,WatsonWeldon.jpg,Watson,Weldon,79,R,,,weldon.watson@okhouse.gov ,,2018,Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma House,RitzeMike.jpg,Ritze,Mike,80,R,,,mike.ritze@okhouse.gov ,,2020,Tulsa~ Wagoner,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Broken Arrow,,,,,,,,,,,,,,,,
Oklahoma House,GrauRandy.jpg,Grau,Randy,81,R,,,randy.grau@okhouse.gov ,,2022,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Edmond,,,,,,,,,,,,,,,,
Oklahoma House,,Calvey,Kevin,82,R,,,,,2018,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,McDanielRandy.jpg,McDaniel,Randy,83,R,,,randy.mcdaniel@okhouse.gov ,,2018,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Edmond,,,,,,,,,,,,,,,,
Oklahoma House,KernSally.jpg,Kern,Sally,84,R,,,sallykern@okhouse.gov ,,2016,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,DankDavid.jpg,Dank,David,85,R,,,david.dank@okhouse.gov ,,2018,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,FourkillerWilliam.jpg,Fourkiller,Wll,86,D,,,will.fourkiller@okhouse.gov ,,2022,Adair~ Cherokee~ Delaware,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Stilwell,,,,,,,,,,,,,,,,
Oklahoma House,NelsonJason.jpg,Nelson,Jason,87,R,,,jason.nelson@okhouse.gov ,,2020,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,,Dunnington,Jason,88,D,,,,,2026,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,,Stone,Shane,89,D,,,,,2026,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,EcholsJon.jpg,Echols,Jon,90,R,,,jon.echols@okhouse.gov ,,2024,Cleveland~ Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,,Kannady,Chris,91,R,,,,,2026,Cleveland,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,MorrissetteRichard.jpg,Morrissette,Richard,92,D,,,richardmorrissette@okhouse.gov ,,2016,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,ChristianMike.jpg,Christian,Mike,93,R,,,mike.christian@okhouse.gov ,,2020,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,InmanScott.jpg,Inman,Scott,94,D,,,scott.inman@okhouse.gov ,,2018,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Del City,,,,,,,,,,,,,,,,
Oklahoma House,JoynerCharlie.jpg,Joyner,Charlie,95,R,,,charlie.joyner@okhouse.gov ,,2018,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Midwest City,,,,,,,,,,,,,,,,
Oklahoma House,MooreLewis.jpg,Moore,Lewis,96,R,,,lewis.moore@okhouse.gov ,,2020,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Arcadia,,,,,,,,,,,,,,,,
Oklahoma House,SheltonMike.jpg,Shelton,Mike,97,D,,,mikeshelton@okhouse.gov ,,2016,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,,Rogers,Michael,98,R,,,,,2026,Tulsa~ Wagoner,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Broken Arrow,,,,,,,,,,,,,,,,
Oklahoma House,,Young,George,99,D,,,,,2026,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,HallElise.jpg,Hall,Elise,100,R,,,elise.hall@okhouse.gov ,,2022,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Oklahoma City,,,,,,,,,,,,,,,,
Oklahoma House,BanzGary.jpg,Banz,Gary,101,R,,,garybanz@okhouse.gov ,,2016,Oklahoma,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Midwest City,,,,,,,,,,,,,,,,
Oklahoma Senate,WyrickCharles.jpg,Wyrick,Charles,1,D,,,wyrick@oksenate.gov,,2016,Craig~ Delaware~ Mayes~ Ottawa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Fairland,,,,,,,,,,,,,,,,
Oklahoma Senate,QuinnMarty.jpg,Quinn,Marty,2,R,,,marty.quinn@okhouse.gov ,,2026,Rogers,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Claremore,,,,,,,,,,,,,,,,
Oklahoma Senate,ShawWayne.jpg,Shaw,Wayne,3,R,,,shaw@oksenate.gov,,2024,Adair~ Cherokee~ Delaware~ Mayes~ Rogers,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Grove,,,,,,,,,,,,,,,,
Oklahoma Senate,AllenMark.jpg,Allen,Mark,4,R,,,allen@oksenate.gov,,2022,LeFlore~ Sequoyah,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Spiro,,,,,,,,,,,,,,,,
Oklahoma Senate,,Silk,Joseph,5,R,,,,,2026,Atoka~ Choctaw~ LeFlore~ McCurtain~ Pushmataha,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Broken Bow,,,,,,,,,,,,,,,,
Oklahoma Senate,BrecheenJosh.jpg,Brecheen,Josh,6,R,,,brecheen@oksenate.gov,,2022,Atoka~ Bryan~ Coal~ Johnston~ Marshall,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Coalgate,,,,,,,,,,,,,,,,
Oklahoma Senate,BoggsLarry.jpg,Boggs,Larry,7,R,,,boggs@oksenate.gov,,2024,Haskell~ Hughes~ Latimer~ Okfuskee~ Pittsburg,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Wilburton,,,,,,,,,,,,,,,,
Oklahoma Senate,,Thompson,Roger,8,R,,,,,2026,McIntosh~ Muskogee~ Okfuskee~ Okmulgee,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Okemah,,,,,,,,,,,,,,,,
Oklahoma Senate,GarrisonEarl.jpg,Garrison,Earl,9,D,,,garrisone@oksenate.gov,,2016,Cherokee~ Muskogee,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Muskogee,,,,,,,,,,,,,,,,
Oklahoma Senate,FieldsEddie.jpg,Fields,Eddie,10,R,,,efields@oksenate.gov,,2020,Kay~ Osage,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Wynona,,,,,,,,,,,,,,,,
Oklahoma Senate,ShumateJabar.jpg,Shumate,Jabar,11,D,,,shumate@oksenate.gov,,2016,Osage~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tulsa,,,,,,,,,,,,,,,,
Oklahoma Senate,BingmanBrian.jpg,Bingman,Brian,12,R,,,bingman@oksenate.gov,,2016,Creek~ Tulsa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Sapulpa,,,,,,,,,,,,,,,,
